"","Kecemasan","GM","Emosi","Aman","MATHMEAN"
"793",4,3,-0.6806,-0.756,269.368
"795",4,3,-0.6162,-0.756,364.1063
"796",2,3,-1.1942,-0.0918,420.1629
"797",4,4,-0.8439,-0.756,399.1432
"798",4,3,0.0896,0.1368,391.2802
"800",4,1,0.6457,0.4417,355.5173
"801",5,1,0.2131,-1.3597,305.0546
"802",7,3,-0.1264,0.1368,356.4305
"803",7,3,-0.4861,-0.756,414.8104
"804",4,2,0.3724,-0.756,532.5168
"805",2,1,0.2611,1.1246,414.338
"806",4,3,-0.4805,-1.15,339.1866
"807",2,4,0.2072,-0.756,371.794
"809",4,3,-0.515,-0.756,533.7182
"810",4,1,0.3255,1.1246,374.3976
"811",4,3,-0.6576,-1.5326,435.8253
"812",4,3,-0.5845,-0.9021,357.0045
"813",4,3,-0.029,-1.5386,329.3533
"814",2,3,-0.3539,0.6942,326.9703
"817",4,3,-0.4755,-0.756,392.6445
"821",4,3,-1.1618,-0.756,398.0303
"822",4,2,-0.2673,1.1246,443.3256
"823",2,2,-0.1775,-0.756,374.4468
"824",8,1,2.8436,1.1246,374.8185
"825",2,1,-0.0949,-0.756,288.7444
"826",4,1,-0.2709,1.1246,391.8715
"828",4,4,-1.1872,-0.0918,317.8359
"829",2,3,-0.8801,-0.756,341.3488
"830",4,3,-0.1274,1.1246,394.9587
"833",3,2,-0.151,0.2802,419.763
"835",6,2,-0.3304,-0.756,391.4967
"836",4,3,-0.4758,-0.756,422.4138
"838",5,2,-0.5222,-0.756,336.3044
"839",7,3,-0.1789,-0.756,404.3437
"840",4,3,0.4235,-0.756,326.9714
"841",6,2,-0.2694,-0.756,375.6732
"842",4,3,0.238,-1.15,414.2771
"844",4,2,0.2033,-0.756,378.3543
"845",4,3,0.0166,1.1246,386.4024
"846",6,2,0.6199,-0.756,504.0998
"847",2,3,0.2035,-0.756,302.6274
"848",4,4,2.9323,1.1246,399.2906
"852",6,3,-0.2726,-0.756,408.0287
"853",3,3,-0.8394,0.1413,368.4496
"854",4,3,2.9071,0.4836,342.4248
"857",2,3,0.2946,1.1246,304.0308
"861",4,3,0.3384,-1.1042,462.125
"862",3,3,0.0054,-1.1042,380.8536
"863",5,3,0.3979,0.4417,312.5052
"865",5,3,0.4677,-0.756,380.1053
"866",4,3,0.0688,1.1246,374.961
"867",4,3,0.3364,0.2435,316.2547
"872",4,3,0.0822,-0.756,360.8626
"873",3,2,0.5119,-0.756,484.0335
"879",2,3,-0.9893,-0.756,411.7394
"882",6,2,0.7158,-1.15,285.7198
"883",4,3,-0.5288,-1.1042,319.0548
"885",7,3,-0.5362,-0.756,311.3178
"886",4,3,-0.1772,-0.756,352.6222
"887",6,4,-0.2244,0.6942,342.2198
"888",5,4,-0.5012,1.1246,348.7213
"889",5,3,0.7355,-0.756,415.1073
"893",4,3,0.374,-0.756,355.8202
"896",4,3,0.6427,-0.756,375.7921
"903",5,3,-0.0467,-0.756,313.4965
"906",2,1,0.1545,1.1246,388.3271
"907",4,2,-0.9263,-0.039,370.6688
"908",4,3,-0.0041,-0.039,384.1972
"909",4,3,-0.6198,-0.756,339.2345
"910",4,2,-0.038,1.1246,356.2841
"911",4,3,-0.2964,1.1246,346.3281
"912",6,3,2.0765,-0.756,314.9705
"917",4,3,-0.5719,1.1246,416.088
"918",5,3,-0.1413,0.1413,294.895
"921",4,3,-0.5978,-0.756,574.6352
"922",5,4,-0.6407,1.1246,408.477
"923",3,2,-0.8672,-0.756,473.8948
"924",2,2,-0.2669,-0.756,546.0636
"925",4,2,0.5391,-0.756,435.9316
"927",5,3,-0.4667,1.1246,333.3267
"928",4,2,0.0387,-0.756,417.4245
"929",4,1,-0.4248,-2.7886,371.8423
"930",6,3,1.5695,1.1246,356.3626
"931",6,3,-0.7272,-0.756,454.6657
"933",4,3,0.0517,-0.756,405.2944
"934",7,4,1.6371,0.4836,393.561
"936",4,2,-0.5476,-1.1042,481.0233
"939",8,3,-0.0794,-0.756,316.3469
"942",4,3,-0.0766,-0.756,398.4544
"943",4,3,0.0799,-0.756,363.9945
"944",4,3,0.9538,1.1246,346.6243
"946",4,2,-0.7426,-0.756,279.0941
